narrative_id,text,language_mix,categories,annotator_notes
N001,"Nina akiba kidogo kwa sababu biashara yangu ya mboga haijaenda vizuri mwezi huu, soko limekuwa dhaifu.",sw,savings|business_risk,"'Akiba' = savings; 'soko dhaifu' signals demand-side business risk, not personal failure framing."
N002,"I joined a chama last year lakini sasa naona ni mzigo, kila mwezi tunatakiwa kutoa elfu mbili hata kama sina.",mixed,chama_obligations|debt,"Chama framed as burden ('mzigo'); implies liquidity stress, borderline debt-like obligation."
N003,"My daughter alikuwa na malaria for two weeks, nilitumia savings zangu zote za shule kwa hospitali.",mixed,health_shocks|care_work|savings,Health shock directly depleting savings earmarked for a different purpose (school fees) - important for lending-readiness models.
N004,Nimechukua mkopo wa soko (shylock) kwa sababu benki walisema sina dhamana ya kutosha.,mixed,debt|lending_readiness,Explicit articulation of collateral barrier to formal credit; informal lender used as fallback.
N005,"Kuna wiki nafanya vizuri kwa biashara, wiki ingine ni hasara kabisa, hivyo siwezi kupanga akiba ya kudumu.",sw,business_risk|savings,Describes income volatility as a structural barrier to consistent saving behavior.
N006,"Since my husband passed away nabeba mzigo wa nyumba peke yangu - watoto, wazazi wangu wa kale, na biashara.",mixed,care_work|business_risk,Multiple unpaid care burdens layered with income generation; useful for care-work load classifier.
N007,Table banking yetu inasaidia lakini fine za kuchelewa kulipa zinaniumiza zaidi kuliko deni lenyewe.,mixed,chama_obligations|debt,Distinguishes chama-imposed penalty structures from the underlying obligation - nuance for annotators.
N008,"Nataka kuomba mkopo wa benki wa boresha biashara lakini sina statement za miezi sita, mimi huuza cash tu.",mixed,lending_readiness|business_risk,Informal cash-based trading excludes her from standard bank documentation requirements.
N009,"Mtoto wangu mdogo ana ulemavu, natumia muda mwingi kumhudumia badala ya kuenda sokoni kuuza bidhaa.",sw,care_work|business_risk,Care responsibility directly trades off against income-generating time - key barrier narrative.
N010,"Tuko na akiba ya chama, lakini nikijitoa sasa nitalipa faini kubwa, so niko stuck.",mixed,chama_obligations|savings,Illustrates illiquidity of group savings - relevant to 'lending readiness' liquidity assumptions.
N011,"Nilikopa pesa za shule kutoka kwa jirani, sasa deni limekuwa kubwa kuliko nilivyotarajia kwa riba.",sw,debt,Informal peer lending with compounding interest - a distinct debt subtype from bank or chama debt.
N012,"Biashara yangu ilikumbwa na moto mwezi jana, nimepoteza bidhaa zote na sina bima.",sw,business_risk,Catastrophic uninsured business loss; no health or care-work overlap - single-label example for balance.
N013,"Ninaweka kidogo kidogo kwa M-Shwari kila wiki, ni akiba yangu ya dharura kama kuna ugonjwa.",sw,savings|health_shocks,Mobile-money micro-savings explicitly earmarked as a health-shock buffer - important lending-signal.
N014,"Kama mama mboga, sipati mshahara wa kudumu hivyo sifikirii nina 'lending readiness' kama wanavyosema benki.",mixed,lending_readiness|business_risk,Respondent self-references formal credit terminology skeptically - flag for explainability review.
N015,Nililazimika kutoa mtoto shule kwa muda kwa sababu sikuwa na pesa ya matibabu ya mama yangu.,sw,health_shocks|care_work,Trade-off between education investment and urgent health/care spending.
N016,Chama chetu kimenisaidia kupata mtaji wa kuanzisha kibanda changu cha nguo mitumba.,sw,chama_obligations|business_risk,Positive framing of chama as capital source - important to avoid annotating chama only as burden.
N017,"Sina akaunti ya benki, naogopa kukopa maana nikishindwa kulipa watachukua vitu vyangu vichache nilivyo navyo.",sw,lending_readiness|debt,"Fear-based credit avoidance rooted in asset vulnerability, not lack of interest in borrowing."
N018,"Nilikuwa na duka dogo la nyanya na sukuma, lakini bei za mboga zilipanda ghafla nikashindwa kuendelea.",sw,business_risk,Input-price shock affecting micro-retail viability.
N019,"Naishi na mama yangu mzee mwenye presha, dawa zake ni gharama ya mara kwa mara inayoshinda mapato yangu.",sw,health_shocks|care_work,Chronic (not acute) health shock creating recurring rather than one-off financial strain - distinct subtype worth separate tagging.
N020,Nataka kujiunga na chama kipya cha uwekezaji lakini naogopa obligations za ziada kwa sasa.,sw,chama_obligations|savings,Prospective/anticipatory framing rather than lived experience - useful edge case for annotators.
N021,"Nilipata mkopo mdogo wa simu (fuliza) kulipia deni la mwezi uliopita, sasa deni linaongezeka la digital.",mixed,debt|lending_readiness,Digital micro-loan rollover pattern; relevant to detecting debt-cycling behavior in NLP model.
N022,"Kazi yangu ya kuuza nguo mitumba iko sawa sasa hivi, sina wasiwasi mkubwa wa kifedha mwezi huu.",sw,none,Neutral/stable narrative included intentionally to balance dataset and avoid over-triggering risk categories.
N023,Nimejifunza kuweka akiba kidogo kila siku baada ya mafunzo ya kifedha kutoka kwa NGO mtaani.,sw,savings,Positive behavior change attributed to a financial literacy intervention - useful for outcome tracking.
N024,"Mume wangu hachangii pesa ya nyumba, mzigo wa watoto na deni la shule ni wangu peke yangu.",sw,care_work|debt,Gendered distribution of household financial and care burden explicitly named.
N025,"Sijui kama nikichukua mkopo mkubwa wa benki nitaweza kulipa, biashara yangu bado ni ndogo sana.",sw,lending_readiness|business_risk,"Self-assessed risk aversion tied to business scale, not creditworthiness alone."
